countrycode,country,gleam_region,bovine,muttongoat,pig,poultry,eggs,milk
74,Gabon,ssa,1.0658,0.18615,1.01835,4.3143,0.12775,1.022
75,Gambia,ssa,0.32485,0.10585,0.01825,0.32485,0.1022,1.51475
79,Germany,w_europe,1.71915,0.09125,5.2049,2.6499,1.3943,8.9717
80,Bosnia and Herzegovina,w_europe,1.3432,0.06205,0.9125,1.6352,0.4818,5.72685
81,Ghana,ssa,0.1679,0.2482,0.1533,0.98185,0.1241,0.3285
83,Kiribati,oceania,0.69715,0.04015,1.2337,2.01115,0.29565,0.38325
84,Greece,w_europe,2.0951,1.7009,2.5112,2.3652,1.1534,8.80745
86,Grenada,lac,0.52925,0.1971,1.20815,5.28155,1.0293,3.2631
89,Guatemala,lac,0.89425,0.03285,0.4526,1.7885,1.4454,1.50015
90,Guinea,ssa,0.91615,0.2263,0.01825,0.23725,0.20075,0.66795
91,Guyana,lac,0.4745,0.14965,0.3066,4.1975,0.0803,4.93115
93,Haiti,lac,0.6497,0.11315,0.45625,0.82125,0.0511,0.63875
95,Honduras,lac,1.1534,0.00365,0.65335,2.39075,0.51465,3.12805
96,"China, Hong Kong SAR",e_se_asia,3.72665,0.28105,6.36195,7.1467,1.6644,3.3799
97,Hungary,e_europe,0.48545,0.0146,3.56605,3.3726,1.4162,5.2341
98,Croatia,w_europe,1.81405,0.22995,3.71205,1.1023,0.90885,7.07735
99,Iceland,w_europe,1.8834,2.63895,2.0732,3.9712,0.92345,11.21645
100,India,s_asia,0.11315,0.08395,0.0292,0.22995,0.2774,2.98205
101,Indonesia,e_se_asia,0.3504,0.0657,0.33215,0.92345,0.5621,0.4818
102,Iran (Islamic Republic of),s_asia,0.5402,0.54385,0,3.2996,0.8249,1.57315
103,Iraq,ne_na,0.4088,0.2555,0,1.9272,1.0512,0.7519
104,Ireland,w_europe,3.2412,0.511,3.1244,3.96025,1.01105,8.9425
105,Israel,ne_na,4.2413,0.25185,0.19345,9.4097,1.2994,7.44965
106,Italy,w_europe,2.7229,0.11315,3.8471,2.80685,1.5184,6.23055
107,Cote d'Ivoire,ssa,0.25185,0.09855,0.16425,0.29565,0.2044,0.22265
108,Kazakhstan,ne_na,3.43465,1.29575,0.99645,2.263,0.8906,9.4535
109,Jamaica,lac,0.63145,0.19345,0.3139,5.84,0.23725,3.2266
110,Japan,e_se_asia,1.31035,0.01825,2.044,2.53675,2.1973,2.62435
112,Jordan,ne_na,0.82125,0.79205,0.00365,4.3727,0.4161,2.79225
113,Kyrgyzstan,ne_na,2.2046,1.17895,0.4307,0.2774,0.4964,7.1102
114,Kenya,ssa,1.40525,0.26645,0.02555,0.0584,0.1898,2.79225
115,Cambodia,e_se_asia,0.7227,0,0.7227,0.2044,0.14965,0.1095
116,Democratic People's Republic of Korea,e_se_asia,0.12045,0.0949,0.51465,0.20075,0.5402,0.1168
117,Republic of Korea,e_se_asia,1.8542,0.01825,3.3142,1.98195,1.2921,1.0585
118,Kuwait,ne_na,1.8615,2.1097,0,6.6649,1.34685,5.42025
119,Latvia,w_europe,0.7081,0.04745,3.35435,2.63165,1.50015,5.9495
120,Lao People's Democratic Republic,e_se_asia,0.9344,0.04015,1.03295,0.49275,0.219,0.0949
121,Lebanon,ne_na,2.20095,0.33215,0.1533,2.6499,0.3942,3.6792
